                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.26983,                0.18249,                0.89154,                0.86149,                0.86297,                0.91262,                0.79443,                0.57347,                0.49912,                 1.1106,               0.001948,               0.001948,               0.001948
                    124,                0.26746,                0.18052,                0.89078,                0.86236,                0.86271,                 0.9123,                0.79486,                0.57408,                0.49959,                  1.111,               0.001882,               0.001882,               0.001882
                    125,                0.26602,                 0.1786,                0.88954,                0.86204,                0.86319,                0.91147,                0.79462,                0.57493,                0.50063,                 1.1118,               0.001816,               0.001816,               0.001816
                    126,                0.26185,                0.17568,                0.88547,                0.86079,                0.86319,                0.91055,                0.79442,                0.57505,                0.50148,                  1.112,                0.00175,                0.00175,                0.00175
                    127,                0.26159,                0.17442,                0.88637,                0.86042,                0.86368,                0.90978,                0.79452,                0.57587,                0.50272,                 1.1127,               0.001684,               0.001684,               0.001684
                    128,                0.25879,                0.17114,                0.88341,                0.85958,                0.86465,                0.90942,                0.79437,                0.57654,                0.50408,                  1.113,               0.001618,               0.001618,               0.001618
                    129,                0.25703,                0.16997,                0.88141,                0.85969,                0.86514,                0.90928,                0.79417,                0.57683,                0.50525,                 1.1135,               0.001552,               0.001552,               0.001552
                    130,                0.25575,                 0.1669,                0.88143,                0.88567,                0.83934,                0.90888,                0.79381,                0.57811,                0.50559,                 1.1148,               0.001486,               0.001486,               0.001486
                    131,                0.25462,                0.16518,                0.88196,                0.88439,                 0.8408,                0.90865,                0.79339,                0.57892,                 0.5062,                 1.1157,                0.00142,                0.00142,                0.00142
                    132,                0.24958,                 0.1619,                0.88033,                0.87505,                0.84894,                0.90823,                0.79311,                0.57931,                0.50614,                  1.116,               0.001354,               0.001354,               0.001354
                    133,                0.24867,                 0.1614,                 0.8772,                0.86558,                0.85899,                 0.9082,                0.79345,                0.57946,                0.50725,                 1.1151,               0.001288,               0.001288,               0.001288
                    134,                0.24588,                0.15694,                0.87598,                0.86556,                0.85784,                0.90782,                0.79314,                0.58109,                 0.5089,                 1.1168,               0.001222,               0.001222,               0.001222
                    135,                0.24345,                0.15772,                0.87426,                0.87035,                0.85305,                0.90722,                0.79296,                0.58196,                0.50995,                 1.1177,               0.001156,               0.001156,               0.001156
                    136,                0.24081,                0.15401,                0.87379,                0.86786,                0.85686,                  0.907,                0.79257,                0.58393,                0.51229,                 1.1193,                0.00109,                0.00109,                0.00109
